Normal,,,,OR1,,,,OR2,,,,OR3,,,
峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子
2.961108203,7.618598547,11.23075083,9.529556407,2.913285824,7.285132808,10.73578098,9.100866134,3.04614892,8.794768967,13.04828389,11.04004801,3.392051527,10.35904335,15.52507181,13.1051902
3.065584147,8.001951803,11.92051126,10.07197471,2.845218065,8.203540824,11.94419214,10.1823813,3.089269993,8.149294571,12.08646466,10.23656317,3.18659454,8.496030522,12.72570233,10.73598847
2.99291337,7.302447657,10.8055721,9.152485129,2.93270059,8.424603732,12.37507782,10.51363124,3.147003178,8.373388079,12.4962949,10.55630681,3.129651829,7.500326122,11.29688586,9.504339737
3.073031451,8.349523357,12.39253047,10.4887613,2.937664353,7.478617087,11.01816273,9.345757324,2.990523817,7.984484382,11.89264798,10.03870958,3.192715282,7.955918038,11.94403111,10.07080987
3.002944872,7.982639489,11.81365125,10.00598526,2.862361285,7.461449859,10.96192795,9.30578425,3.113746854,8.133953948,12.07834931,10.22805824,3.064281814,8.454607508,12.52377369,10.6084384
2.947963516,7.684347132,11.32014063,9.605894751,2.884673785,8.546133153,12.55989633,10.66294435,3.039952852,7.711740121,11.47822592,9.700723021,2.989077242,7.880674413,11.62273428,9.858247259
3.037816978,8.11724762,12.06119493,10.19893361,2.838372511,7.181346456,10.51916737,8.942828892,2.822811624,7.085561708,10.36735528,8.813916051,3.064255235,8.234505507,12.19726641,10.33599696
3.050935479,8.012365226,11.91939618,10.07288278,2.865187809,7.538914453,11.01130015,9.375408584,3.161351199,8.223769306,12.30126819,10.38360863,3.276798988,8.171345742,12.3289293,10.36994206
2.980104399,7.532353162,11.15225683,9.445457449,2.877570153,7.29322774,10.70129312,9.087315692,2.956941006,7.410382195,10.9171655,9.26639538,3.173998413,8.527878308,12.70977661,10.75088324
2.91786165,7.22703413,10.68250873,9.04551442,2.866695366,7.295219463,10.6773937,9.079426552,3.007165366,7.859155879,11.57896537,9.829722673,3.16553391,8.907840555,13.2661049,11.22119405
3.093994738,7.720387351,11.51174169,9.72448577,2.964513564,7.728456289,11.42422263,9.678069903,2.947673899,7.154450742,10.56475372,8.953913102,3.177499025,7.799234798,11.60496679,9.826140251
2.961957779,7.825536463,11.51227097,9.774918907,2.897499128,7.570735076,11.17609086,9.461398337,3.092521969,8.057350214,11.89968554,10.10063189,3.176794141,8.601868986,12.84437345,10.84959466
2.958475878,7.919501951,11.6772794,9.90256275,2.816837336,7.596113044,11.06380184,9.426530244,2.994926204,7.378084393,10.92149952,9.25372347,3.163606087,7.690815145,11.4887606,9.711264056
2.983042058,7.51462329,11.13288368,9.421182338,2.869520257,7.997121767,11.74636504,9.970647278,3.066278174,7.820943191,11.62760058,9.833666958,3.086149219,8.135536948,12.05844327,10.2160903
2.964034577,7.989121668,11.78973418,9.994959081,2.952730812,7.302737064,10.74409681,9.1253562,2.90240291,7.41154376,10.84108415,9.227514033,3.228988053,8.286199597,12.3922569,10.47449854
2.842612394,7.396199912,10.81701266,9.199288004,2.899918769,6.979619195,10.2648717,8.712276951,2.955976415,7.180783423,10.62351717,9.002488889,3.085684817,8.831279158,13.11232409,11.09812253
2.977660246,7.375160919,10.86050741,9.220550388,2.817656721,7.237995677,10.60738251,9.01211184,3.075242198,8.210494382,12.13039976,10.29134293,3.273594131,8.974229197,13.51788874,11.37502226
2.971998913,7.163732816,10.61126816,8.982664002,2.844115769,6.985734507,10.26653416,8.712787101,2.966435604,7.785153532,11.49201742,9.744393928,2.973241392,7.352190217,10.908841,9.226710535
3.039717468,8.152116638,12.11139925,10.24623765,2.818516211,6.899717465,10.08367674,8.579015043,3.057363052,7.895730164,11.7893511,9.945478071,3.128635745,8.53059697,12.71998306,10.74375328
2.967678937,7.390883968,10.95545598,9.266274199,2.783109563,7.705598097,11.19657741,9.548964089,3.061228639,7.606674541,11.35309369,9.578679256,3.139308892,8.068204973,12.00269736,10.15690994
2.950415687,7.151171993,10.56685098,8.957825143,2.797223698,7.197122885,10.52173379,8.945515844,3.110830041,7.678073186,11.46203149,9.683106191,2.990373041,7.357962341,10.95367857,9.250772827
3.015270958,7.687374549,11.41328991,9.654583596,2.829747795,8.04482158,11.68888555,9.973227821,3.107548275,8.093961487,12.13598985,10.22629219,3.003711393,8.297475938,12.28521572,10.40056299
2.920786985,7.240683715,10.68497996,9.056654607,2.880162188,7.397242673,10.85049662,9.219505449,2.916770402,7.384816988,10.87708037,9.226764866,3.221455819,8.857597377,13.3316388,11.21865023
3.010310522,7.693963947,11.42161854,9.659744782,2.850961034,7.102468354,10.42858491,8.856082814,3.16513045,8.362085273,12.56813002,10.58681987,3.090790867,8.685575078,12.97024945,10.94661045
2.875899599,7.184597874,10.54727547,8.95855694,2.836653491,7.482619775,10.95540089,9.311398343,2.99131853,8.144559842,12.04638704,10.20474418,3.093665929,8.07966753,11.97248296,10.1479431
2.987970813,7.72219161,11.40380408,9.670648448,2.921119117,7.341063788,10.79842808,9.170417547,2.869517458,7.252128392,10.63734157,9.039849182,3.145017968,8.10571481,12.16292404,10.25031058
2.967842044,7.867464484,11.62345372,9.849531161,2.850171152,7.32901914,10.73862181,9.127765397,2.966548523,7.538187569,11.11650441,9.43359562,3.07865502,7.615217956,11.32440959,9.579332486
3.007222349,7.421408704,11.02096799,9.323199455,2.852938379,7.371430628,10.76830666,9.168473972,3.134229462,8.852582223,13.15931413,11.13160844,3.147433735,8.356828804,12.46849244,10.53183084
2.956257149,7.423985579,11.01341225,9.311872815,2.875945293,7.190375764,10.54835293,8.962349956,2.902739063,7.018836292,10.31616234,8.762202592,3.331889344,8.354280067,12.68377091,10.64417483
2.957746056,7.460540978,11.0534373,9.357595869,2.901056281,8.217433608,11.99906777,10.21670619,3.089211223,8.352475252,12.41753543,10.50910361,3.220445071,8.804406178,13.28054832,11.16908464
3.006936533,7.904402771,11.6750099,9.900670413,2.839467249,7.06779008,10.32550252,8.790892285,3.066147681,7.996540883,11.92325169,10.07301224,3.167200566,9.549211154,14.26231437,12.04815454
2.992436529,8.129358497,12.06743608,10.20350164,2.827080511,7.507749327,10.93326355,9.319996417,2.962905944,7.722637207,11.46248003,9.687181904,3.142550623,8.347605435,12.54965854,10.56225007
2.949930458,7.217711356,10.65357064,9.032358325,2.917039008,7.51822231,11.03679121,9.373218104,3.169416651,8.253769253,12.33054035,10.41340274,3.046189643,7.486299353,11.18140513,9.435355283
2.889279872,7.863835154,11.54085096,9.808255719,2.749414955,6.518728839,9.440924066,8.065094545,3.140506524,8.493079923,12.70719149,10.7237248,3.303352441,8.519666057,12.80301198,10.79817247
2.923950126,7.133264767,10.52530599,8.920443455,2.838936577,7.418629056,10.81815304,9.219630634,3.000162743,7.348983845,10.91418045,9.230246075,3.144267886,8.308132436,12.45551997,10.50018532
2.967933319,7.217428002,10.62358802,9.025016093,2.860580538,7.292827544,10.69749824,9.0862953,2.963539601,7.226359003,10.68863773,9.058504314,3.027875908,7.861989177,11.66772312,9.869964072
2.853522692,7.096599894,10.41293848,8.840690254,2.914876001,7.674546085,11.23768669,9.561608061,2.964630622,7.316326292,10.84777448,9.181061209,2.971597106,7.544469115,11.08140496,9.422944447
2.99816284,7.828658469,11.6484023,9.839835283,2.79107737,6.878867168,10.01633344,8.535785913,3.051933201,8.269350058,12.30280477,10.39783659,3.012252754,7.261549817,10.76746143,9.113626503
3.12656019,7.826598892,11.71100373,9.879158022,2.787075857,7.247102322,10.54552811,8.988701644,3.037958891,7.622119072,11.29241856,9.57058193,3.075453764,7.938457367,11.80355585,9.987890615
2.994406878,7.814616888,11.58406082,9.800858191,2.881733174,8.023036332,11.81340789,10.01387141,3.216020509,9.071580034,13.62725534,11.48333744,3.050238025,7.81164628,11.58632097,9.810388352
2.893837704,7.232182639,10.64910685,9.035483266,2.847763052,7.417069377,10.82832338,9.22167818,3.202805776,8.409046477,12.6619952,10.66095683,2.933413691,7.175891033,10.63077904,8.990590737
