Normal,,,,OR1,,,,OR2,,,,OR3,,,
峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子
3.109602233,8.17643917,12.14193744,10.28148704,3.157017508,8.29768489,12.41975981,10.48221761,4.510790815,9.148006621,15.1064278,12.31056875,3.756693423,10.22285665,15.55254816,13.07884865
3.063856919,8.464270991,12.58496811,10.6431507,3.186741755,10.0928448,15.07571734,12.72816855,4.499681278,9.040324288,14.86918874,12.14119059,3.391739385,10.17770866,15.28299345,12.89265587
2.945247102,7.607586511,11.22827261,9.518573022,3.030775916,8.383954716,12.42232858,10.51578888,4.428795477,8.707005538,14.41070587,11.7195533,3.496440339,9.953103125,15.03496774,12.66213859
3.063657851,8.2990887,12.28784956,10.4101873,3.106069497,8.272754571,12.32330482,10.41616206,4.390802879,9.32101511,15.22040169,12.46062954,3.358305964,9.006957528,13.56473029,11.43019882
3.049756969,8.418296819,12.45208372,10.55195138,3.0642584,7.713170571,11.5048047,9.716172172,4.404588634,8.849356606,14.46094679,11.83954936,3.271864373,8.707188489,13.04335476,11.01405477
3.045649061,8.476414936,12.58880624,10.64755266,3.031445684,7.985668933,11.84311656,10.02526256,4.464363029,9.540781575,15.63433416,12.78880276,3.308062135,8.565880791,12.86168254,10.85448255
2.990288199,8.457277012,12.50757045,10.59374643,2.962876747,7.919248186,11.68205745,9.904769655,4.365356349,9.300961733,15.24163653,12.45880001,3.482539611,10.19304274,15.36582535,12.94512678
3.099980422,8.408394977,12.51951524,10.58325086,3.09114152,8.705307605,12.94894456,10.94948402,4.263731395,8.67668852,14.06399835,11.54236604,3.394538174,10.01181277,15.07210264,12.69850784
3.078395683,8.919769003,13.22517936,11.20038134,3.055362917,8.462132009,12.59188091,10.64132761,4.440972764,9.192902825,15.02835166,12.30202843,3.470149387,10.13827403,15.23090057,12.85519407
2.952010561,7.910520507,11.66740916,9.896075887,3.089560761,9.855565281,14.6650973,12.39710921,4.434688919,9.283550529,15.09282162,12.39259235,3.548890207,11.4355414,17.38250872,14.58749957
2.993491852,8.187814733,12.0609257,10.24486465,3.010851622,7.558718552,11.16250864,9.467255899,4.629987849,9.135132529,15.20278272,12.35263657,3.706663975,10.24247471,15.56717672,13.09246839
2.998077258,7.480236279,11.09746671,9.390418962,2.995207358,7.935814943,11.74939564,9.949743447,4.389923032,9.259153879,15.09441689,12.365569,3.464868944,11.9209855,18.05445123,15.17196819
3.086469678,7.869968018,11.7103794,9.900626093,3.047091364,9.163825568,13.66528915,11.530757,4.395216632,9.310499497,15.25951097,12.46327021,3.525815765,9.76831834,14.75579651,12.43024101
3.103493133,8.118595173,12.0613507,10.20412075,3.013094909,8.483506715,12.55470344,10.63826255,4.423541669,8.437930983,13.8558978,11.31553856,3.232427418,8.655709314,12.96399444,10.94475562
2.998322385,7.835368598,11.63045727,9.839610404,2.982347605,7.67059944,11.29725933,9.593079904,4.330117985,9.538159216,15.53961815,12.72632535,3.471131844,8.930481035,13.48642142,11.3588379
2.970158157,7.461675401,11.01965209,9.346597086,3.103802481,8.639005243,12.87816286,10.87907913,4.323320155,8.862524608,14.47499743,11.84076513,3.267193773,8.737923612,13.15728009,11.07975605
2.964444664,8.422714147,12.4581822,10.54790935,3.063931153,7.906806532,11.79960084,9.960949706,4.365501381,9.305191879,15.12409848,12.40551307,3.26922188,9.701589553,14.51938577,12.25708953
3.005389395,7.81434913,11.56307651,9.798886927,3.048396962,8.26408237,12.29508543,10.39133802,4.47812896,9.405563036,15.32155821,12.56880062,3.194349778,9.237373296,13.79472957,11.65401536
3.018119753,8.579061647,12.69818833,10.75899617,3.060757568,9.036800768,13.33752982,11.3176809,4.536333072,9.134978269,15.17388601,12.34210611,3.286454505,9.728387739,14.69007098,12.35046489
3.131231811,8.492784339,12.67232536,10.70541885,3.052282857,8.568173632,12.70615208,10.75893299,4.463510242,9.816619302,16.08198921,13.15036559,3.443592443,9.90415982,15.04138719,12.6344348
3.078224172,8.446531364,12.52621225,10.60950291,2.930902475,7.657824329,11.29237158,9.575327094,4.469125524,9.525988934,15.53230393,12.73357911,3.271523823,9.268793308,13.88345182,11.71892367
3.014709991,8.386390498,12.47919575,10.54724877,3.024117845,7.806221598,11.6451071,9.826870578,4.461870045,8.922838624,14.54389719,11.92441555,3.516502145,8.892082526,13.52516929,11.36071634
3.046796481,8.048580909,11.92520705,10.09976572,3.009997736,8.309274227,12.28155558,10.41130024,4.287154489,9.058568579,14.78254118,12.09157712,3.332411714,9.895838463,14.84973495,12.52798162
2.890306785,7.662532639,11.2482153,9.556852973,3.048631735,8.631738366,12.8358142,10.8545613,4.405820008,9.589058197,15.7311892,12.84769979,3.540546681,10.82572398,16.36676716,13.77163997
3.048487313,8.078924675,11.95347317,10.13330317,3.273374884,9.207125064,13.77654047,11.63649852,4.386958839,8.379955188,13.75625131,11.23411855,3.344668642,9.036344467,13.62693348,11.46699471
2.986612949,7.67782939,11.36587336,9.62545526,3.090237146,9.254391528,13.76851286,11.64118813,4.413768691,9.050087363,14.7884388,12.09659687,3.782626873,10.91952274,16.81446882,14.04999678
3.118115524,7.887226448,11.79145873,9.951393933,3.04593171,8.4013541,12.47725004,10.55236169,4.528872213,8.540375492,14.10883079,11.5008584,3.394892463,8.814815702,13.3729541,11.22649986
3.051359856,8.280857103,12.30519066,10.40368778,3.089923308,8.028810419,11.99255328,10.121169,4.465093184,9.174414262,15.00801171,12.27855597,3.533460625,9.695361016,14.82911521,12.41559627
3.086713399,8.307217131,12.30983534,10.42520859,3.059065867,7.922884924,11.72674307,9.94102942,4.412636127,9.710928488,15.82641886,12.96834029,3.703223834,10.65393233,16.2620102,13.65233354
3.107903226,8.415598144,12.56836489,10.60574736,3.023015857,8.176103621,12.07308073,10.23992489,4.279995797,8.941571254,14.56662495,11.91762566,3.585943022,9.861080311,15.01414746,12.61020401
2.975731104,8.45396883,12.47392661,10.57769193,3.048601569,7.692828883,11.42895794,9.67527017,4.476270322,9.179957649,15.08652407,12.32235753,3.319394597,9.16210513,13.82359325,11.63243693
3.121702677,8.505916316,12.62198097,10.69511922,3.165292282,9.404709143,14.06079105,11.86799338,4.43378887,8.927095988,14.6459921,11.96325162,3.195630396,9.81394108,14.59620567,12.35556909
3.072832346,8.105611101,12.07516357,10.20548537,2.91768539,7.685164344,11.30676722,9.596603079,4.327835888,8.833775838,14.39452282,11.78924261,3.225003157,9.028107154,13.56809993,11.42256343
3.027810069,7.428023618,11.00952159,9.324546693,2.976408793,7.663356199,11.30254022,9.587392176,4.511372728,9.131935388,15.115801,12.29895241,3.183711056,8.545680264,12.85065257,10.81938687
3.047829495,7.607703424,11.32767254,9.571135677,3.028657303,9.54156374,14.06624189,11.94102567,4.479196941,9.106372942,14.97896176,12.22912534,3.193849052,9.070906909,13.57389837,11.45529386
2.976135533,7.740119162,11.40618047,9.68067457,3.060039123,8.946910348,13.26442157,11.23353009,4.529263843,9.603339291,15.69446963,12.86038012,3.142432702,8.578412595,12.77636306,10.80073015
2.964644198,7.695111664,11.39669045,9.646694357,3.088784372,8.778767334,13.07032763,11.04681022,4.451673319,9.003812506,14.68981032,12.04177381,3.440400152,10.4668222,15.77437691,13.2897029
2.987566205,7.869157223,11.63581953,9.864174799,3.008523147,7.41414249,10.93961714,9.284415796,4.466123213,9.000163731,14.71124691,12.03457948,3.192671683,10.13186544,15.14182646,12.78319007
3.027959011,7.931470009,11.79569849,9.970597114,3.110990558,9.448888706,14.0009537,11.86400786,4.39075165,8.908472445,14.44825219,11.86200633,3.137546281,8.298903626,12.35104476,10.44728256
3.012336249,8.072497251,11.96048292,10.1283962,2.984415273,8.283916498,12.24299898,10.3751163,4.423456992,8.666055864,14.12715864,11.57622608,3.261118953,9.520018533,14.15512293,11.99144435
3.080647197,8.17798781,12.15663216,10.28406481,3.114891612,7.83562209,11.65199913,9.860457623,4.447480412,9.099046457,14.91191498,12.18264266,3.409933288,9.81557248,14.82271243,12.48157839
