Normal,,,,OR1,,,,OR2,,,,OR3,,,
峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子,峭度,峰值因子,裕度因子,脉冲因子
3.046174414,7.329802057,10.93390542,9.231939154,3.391942687,8.792795494,13.19370062,11.12316175,3.603609903,9.915390229,15.00936533,12.63094134,3.164646035,8.739712565,12.95533827,10.96255666
3.083674605,7.506071937,11.06468941,9.406107486,3.373417247,9.472763087,14.13032731,11.94856658,3.45968575,9.065267951,13.62131715,11.49725561,3.135891151,8.935431521,13.19700937,11.1899734
3.177277782,7.997859448,11.84057695,10.04265923,3.337666335,8.803429138,13.18200093,11.12140497,3.299977492,8.329143818,12.54109722,10.56568149,3.081962693,7.336922426,10.83166937,9.185489884
3.093359086,7.584927176,11.26419521,9.537699245,3.266087705,8.618447306,12.86382755,10.86334863,3.808869179,11.75037032,17.76890818,14.98718698,3.068044843,7.859641867,11.55575928,9.812361306
3.14987718,7.713487067,11.52209771,9.729670903,3.287272552,8.680971152,12.99755725,10.96378482,3.786448342,10.56569163,16.02261288,13.48746199,3.187155582,8.529684815,12.57322537,10.67454981
3.183632414,8.031245306,11.96342494,10.12086714,3.383991648,9.168312115,13.71168899,11.58015451,3.612247453,9.889551616,14.90077335,12.58034077,3.165418893,8.160562677,12.08298917,10.22868936
3.221207615,8.827231089,13.16581767,11.13265686,3.241511991,8.847865305,13.11369944,11.11131758,3.395257226,8.733268634,13.08944181,11.05559524,3.145957147,8.698219111,12.91872899,10.92806475
3.310763219,8.038102239,12.06586279,10.1806003,3.444389077,9.222708098,13.82780794,11.67336787,3.364325938,8.618030585,13.03289221,10.96102825,3.186573992,7.84489431,11.58876023,9.82948939
3.151980522,7.972045958,11.87482747,10.04991506,3.24978084,8.38516292,12.47157942,10.55085879,3.460885103,9.359978891,14.19198862,11.92752445,3.165206847,8.200675838,12.12190532,10.27367936
3.252649616,8.519227611,12.74869886,10.76455199,3.377353061,8.411052512,12.63543278,10.64661193,3.326319006,8.956438761,13.43208646,11.3385411,3.156851052,8.45257416,12.44491458,10.56925147
3.208790268,8.009359474,11.95876516,10.10633913,3.425884174,8.911565275,13.36469785,11.27170531,3.372731393,8.739190919,13.18137735,11.09559826,3.287271479,8.835997072,13.13030458,11.11196187
3.30994048,8.214882111,12.3122929,10.40258581,3.498407819,9.620591592,14.46195615,12.18961507,3.493704971,9.412143214,14.21167244,11.97754191,3.225635852,9.313291233,13.75500276,11.67399446
3.224591179,7.752471217,11.56377156,9.786829936,3.345285572,9.002014331,13.44579625,11.36445238,3.334878185,9.007268332,13.52927909,11.41357807,3.124046325,7.449939015,11.00281596,9.327547117
3.362885046,8.262516728,12.43076389,10.48334686,3.388927984,8.751605779,13.14864156,11.08096307,3.525479569,9.58426792,14.52815511,12.21542103,3.208456436,8.282740346,12.28422637,10.40031372
3.242289364,8.573149435,12.81993451,10.83443619,3.457568936,9.215657566,13.87955051,11.69004858,3.557590422,10.1253419,15.22940455,12.85380807,3.227246229,8.975953146,13.27389861,11.257563
3.291820527,8.067516679,12.19448343,10.24966254,3.47721962,9.314605769,13.95356792,11.77861576,3.320616678,8.5665131,12.82864339,10.83550817,3.173670229,7.996815531,11.82704764,10.02648374
3.273927088,8.286548797,12.4570756,10.50471376,3.302213988,9.144043724,13.64325476,11.53154378,3.39133405,8.675873043,13.17362633,11.05717967,3.189907224,8.453878402,12.54731876,10.6220609
3.350179994,8.132762892,12.22195613,10.31333577,3.417880498,9.406749398,14.12612005,11.90442824,3.13357324,7.909425009,11.75311011,9.946844953,3.168739412,9.500831952,14.01231472,11.89938702
3.249838663,7.9422392,11.91832997,10.05040715,3.422916977,8.997615356,13.53404721,11.39923274,3.418571247,8.857467518,13.33914337,11.24822981,3.169199316,8.450811405,12.54921854,10.61491832
3.392316365,7.790853692,11.84804326,9.949976811,3.423059641,8.422910824,12.64752621,10.66465097,3.408255315,8.654211461,13.06330778,11.0026777,3.148788007,8.043402935,11.92788807,10.09849856
3.400292317,8.204824513,12.36769887,10.42314239,3.338715857,7.909685314,11.86511368,10.00432294,3.359631049,8.8052269,13.19074488,11.14098144,3.212256782,7.985551481,11.82688972,10.02044403
3.454163765,8.740581547,13.25702503,11.14166176,3.377293969,9.05436898,13.49951222,11.41804438,3.464169856,9.178900667,13.9017911,11.69232891,3.258535133,8.346929849,12.33860376,10.47070852
3.389781798,8.134236834,12.30652646,10.35868222,3.403103667,8.618784265,12.946597,10.91466548,3.357107471,8.101945706,12.18686773,10.27596989,3.297527882,9.207378767,13.75920715,11.61376819
3.429695056,9.632783146,14.62540807,12.27867497,3.414047025,9.236381819,13.82370828,11.66898622,3.433262446,9.292483254,13.97448804,11.78669973,3.177480682,7.922355887,11.7576342,9.94940672
3.578211722,8.693717669,13.21379115,11.10366217,3.39277282,9.134982063,13.72523971,11.57372551,3.415287691,8.868656503,13.37174631,11.26319289,3.163537549,8.281342892,12.26183313,10.38872222
3.382811411,9.096028811,13.76574405,11.57971066,3.416230673,9.697194275,14.55441718,12.27019009,3.51776021,8.861890427,13.36232803,11.26651593,3.083919632,7.50071699,11.07410656,9.389983198
3.404327349,8.297153228,12.57212238,10.57402482,3.430988379,10.48299259,15.68579562,13.24194356,3.598359183,9.245738288,14.00152213,11.7882689,3.1892513,7.99846492,11.86214376,10.04229696
3.316576946,8.315494757,12.50536361,10.54909656,3.535577554,9.997213386,15.11997106,12.71486142,3.301499004,8.737767804,13.15771682,11.08244766,3.254769095,9.10080515,13.54712649,11.45865842
3.500822647,9.362352443,14.24966582,11.96513847,3.392612046,8.481534488,12.78175825,10.75652919,3.594786763,9.483225737,14.27224228,12.0503131,3.266447785,8.730259713,13.00208956,10.99178949
3.32600848,8.722590079,13.20990734,11.10022264,3.458299655,9.738961788,14.641651,12.33927945,3.362720128,8.217236146,12.38264142,10.42838135,3.162097034,7.981124053,11.76657875,9.99025308
3.396301416,8.407884766,12.76114972,10.72459634,3.416240463,9.959749475,14.9931183,12.61784499,3.475535556,9.110416003,13.80835776,11.61111821,3.278405295,10.4651159,15.5609465,13.1613757
3.500576873,9.129977685,13.84509812,11.64359376,3.437152034,9.846429216,14.79228107,12.4689537,3.293868429,8.632799711,12.96861381,10.93528266,3.121143057,8.762571301,12.93357491,10.96815713
3.372346619,9.740111741,14.72567344,12.38668141,3.514641738,9.588966414,14.39139391,12.14236976,3.352806742,8.967524873,13.47732587,11.37134335,3.286319592,9.16133129,13.59167317,11.51228987
3.435495542,8.185500296,12.44573706,10.44651734,3.431532639,9.442630014,14.11377631,11.92944125,3.331546813,9.514330067,14.33018863,12.0741564,3.289197907,10.26795086,15.24968433,12.905504
3.393925424,7.919121425,11.98678761,10.08607361,3.50214749,9.416722372,14.16720427,11.94027175,3.676833705,9.588830903,14.54623859,12.23176478,3.158900467,8.129409683,11.99544101,10.18026554
3.400556072,8.117720631,12.34154321,10.3603557,3.478074871,9.240972086,13.93373339,11.72925427,3.54105283,9.718963114,14.68830781,12.36824338,3.257814068,8.129253429,12.08393317,10.22298879
3.462170801,9.006042816,13.69906771,11.50192639,3.54486649,9.139370188,13.8155319,11.62337022,3.282085062,8.728769191,13.07926551,11.04110319,3.310915717,9.770391894,14.4923739,12.28125647
3.326639967,8.021761841,12.1773188,10.22625535,3.419371856,9.18552037,13.79961569,11.63432707,3.348779352,9.128013582,13.78305463,11.59540624,3.252247944,9.093800497,13.50977521,11.43544175
3.392786755,8.921289654,13.53077913,11.36882182,3.508627375,9.91503888,14.93852651,12.58479487,3.562162343,9.642124236,14.54008871,12.25805391,3.244278826,8.093914261,12.06378389,10.19381323
3.299340416,8.279514086,12.47799751,10.51023109,3.501726738,10.64229418,15.96833884,13.4708077,3.412039064,8.872500159,13.36767326,11.26798126,3.223115314,9.721278405,14.39632854,12.20192795
3.470914684,8.836411205,13.44312913,11.28933782,3.31672387,9.195255812,13.75384464,11.60885546,3.411885428,8.950617411,13.4853426,11.37290922,3.233691474,8.752931022,13.0177799,11.00812001
